first_head,210.33333333333334,205.0,224.33333333333334,219.0
second_head,816.3333333333334,73.0,830.3333333333334,87.0
first_r_eye,205.66666666666666,189.0,219.66666666666666,203.0
second_r_eye,837.6666666666666,73.0,851.6666666666666,87.0
first_l_eye,194.0,200.0,208.0,214.0
second_l_eye,795.0,73.0,809.0,87.0
first_r_ear,223.33333333333331,193.0,237.33333333333331,207.0
second_r_ear,880.3333333333333,73.0,894.3333333333333,87.0
first_l_ear,188.33333333333334,193.0,202.33333333333334,207.0
second_l_ear,752.3333333333334,73.0,766.3333333333334,87.0
first_neck,259.33333333333337,253.0,273.33333333333337,267.0
second_neck,854.3333333333334,330.0,868.3333333333334,344.0
first_r_shoulder,285.0,218.0,299.0,232.0
second_r_shoulder,872.0,292.0,886.0,306.0
first_l_shoulder,211.66666666666669,281.0,225.66666666666669,295.0
second_l_shoulder,845.6666666666666,349.0,859.6666666666666,363.0
first_r_elbow,239.66666666666669,142.0,253.66666666666669,156.0
second_r_elbow,827.6666666666667,223.0,841.6666666666667,237.0
first_l_elbow,149.0,297.0,163.0,311.0
second_l_elbow,837.0,390.0,851.0,404.0
first_r_hand,169.66666666666669,102.0,183.66666666666669,116.0
second_r_hand,794.6666666666667,163.0,808.6666666666667,177.0
first_l_hand,52.0,298.0,66.0,312.0
second_l_hand,815.0,404.0,829.0,418.0
first_r_leg,375.0,346.0,389.0,360.0
second_r_leg,954.0,411.0,968.0,425.0
first_l_leg,282.6666666666667,368.0,296.6666666666667,382.0
second_l_leg,900.6666666666666,462.0,914.6666666666666,476.0
first_r_knee,466.0,387.0,480.0,401.0
second_r_knee,1041.0,348.0,1055.0,362.0
first_l_knee,177.66666666666669,414.0,191.66666666666669,428.0
second_l_knee,826.6666666666666,543.0,840.6666666666666,557.0
first_r_foot,546.0,478.0,560.0,492.0
second_r_foot,1149.0,270.0,1163.0,284.0
first_l_foot,47.66666666666667,494.0,61.66666666666667,508.0
second_l_foot,729.6666666666666,675.0,743.6666666666666,689.0
